"항목","행정구역(동읍면)별",2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12,2025.12
"항목","행정구역(동읍면)별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"총인구수 (명)","경기도 > 구리시 > 교문2동",20554,466,639,993,1221,1158,1285,1321,1165,1370,1603,1944,1885,1620,1555,934,594,432,267,82,17,3
"총인구수 (명)","경기도 > 구리시 > 수택1동",16843,364,389,493,610,782,1339,1465,1113,1111,1128,1396,1587,1645,1341,858,551,398,199,62,10,2
"총인구수 (명)","경기도 > 구리시 > 수택2동",24057,353,509,711,908,1164,1670,1835,1376,1474,1585,1997,2455,2445,2132,1399,926,641,339,116,17,5
"총인구수 (명)","경기도 > 구리시 > 수택3동",20972,437,551,826,1014,1069,1478,1686,1243,1386,1601,2055,1981,1729,1446,894,675,508,278,91,20,4
"총인구수 (명)","경기도 > 남양주시",729754,18688,27680,39117,39683,35766,41064,43296,41089,56477,63575,67913,62353,55121,48924,34025,24169,17047,9485,3352,818,112
"총인구수 (명)","경기도 > 남양주시 > 와부읍",59575,1154,1590,2939,3570,3183,3366,3207,2742,3745,4911,5934,5563,4868,4176,3136,2364,1747,972,317,80,11
"총인구수 (명)","경기도 > 남양주시 > 진접읍",94778,2020,3291,5179,5947,5246,5092,5018,4625,6581,8255,9394,8219,7410,6511,4567,3162,2336,1311,494,107,13
"총인구수 (명)","경기도 > 남양주시 > 화도읍",63417,1156,1826,3021,3440,3169,3718,3267,2849,4349,5535,6569,6015,5238,4670,3172,2394,1713,923,300,85,8
"총인구수 (명)","경기도 > 남양주시 > 화도읍동부출장소",12897,361,549,717,650,490,625,703,695,1070,1122,1164,1105,1085,956,672,374,276,173,83,25,2
"총인구수 (명)","경기도 > 남양주시 > 화도읍남부출장소",35308,859,1443,2048,2099,1864,1730,1734,1789,2777,3347,3530,3161,2636,2237,1513,1123,832,413,142,27,4
"총인구수 (명)","경기도 > 남양주시 > 진건읍",19681,223,321,558,731,865,1208,1129,801,973,1242,1696,2135,2395,1970,1297,881,657,403,151,37,8
"총인구수 (명)","경기도 > 남양주시 > 오남읍",50565,837,1288,2328,3000,3089,3177,2693,2154,2994,4253,5616,5219,4157,3285,2219,1810,1302,809,253,75,7
"총인구수 (명)","경기도 > 남양주시 > 퇴계원읍",26322,424,561,919,1160,1246,1637,1587,1363,1427,1753,2192,2590,2771,2588,1566,1120,790,447,142,36,3
"총인구수 (명)","경기도 > 남양주시 > 별내면",17852,214,427,706,852,880,1008,837,668,921,1310,1816,1850,1719,1480,1120,848,666,382,111,30,7
"총인구수 (명)","경기도 > 남양주시 > 수동면",8403,58,129,190,238,243,324,310,295,362,455,607,885,1065,1082,748,572,424,247,127,37,5
"총인구수 (명)","경기도 > 남양주시 > 조안면",3703,35,62,101,90,114,173,148,125,198,216,272,379,434,493,342,224,155,98,35,6,3
"총인구수 (명)","경기도 > 남양주시 > 호평동",55592,1490,2499,3493,3476,3011,2902,2745,2983,4805,5520,5727,4605,3401,3035,2141,1705,1210,586,198,55,5
"총인구수 (명)","경기도 > 남양주시 > 평내동",37376,1032,1370,2046,2439,2161,2197,2220,2184,2827,3395,3890,3365,2394,2063,1416,1017,739,427,164,27,3
"총인구수 (명)","경기도 > 남양주시 > 금곡동",16950,169,234,310,470,618,995,1125,872,910,914,1244,1707,2003,2030,1288,841,624,423,129,38,6
"총인구수 (명)","경기도 > 남양주시 > 양정동",2164,32,26,46,40,73,159,149,100,111,110,148,221,259,270,187,92,71,48,18,2,2
"총인구수 (명)","경기도 > 남양주시 > 다산1동",105753,4481,6330,7348,5621,4183,5723,7900,8562,11189,10299,8015,6438,5430,5047,3824,2530,1634,830,297,60,12
"총인구수 (명)","경기도 > 남양주시 > 다산2동",36521,1372,1999,2515,2020,1629,1912,2133,2365,3768,3751,3296,2748,2203,1868,1247,803,513,259,95,23,2
"총인구수 (명)","경기도 > 남양주시 > 별내동",82897,2771,3735,4653,3840,3702,5118,6391,5917,7470,7187,6803,6148,5653,5163,3570,2309,1358,734,296,68,11
